name	lat	lon
J1CxW23TOR2012	43.6532	-79.3832
J3CxW23TOR2012	43.6532	-79.3832
J4CxW23TOR2012	43.6532	-79.3832
K4CxW23TOR2012	43.6532	-79.3832
M1CxW23TOR2012	43.6532	-79.3832
N1CxW23TOR2012	43.6532	-79.3832
N5CxW23TOR2012	43.6532	-79.3832
O3CxW23TOR2012	43.6532	-79.3832
Q1CxW24TOR2012	43.6532	-79.3832
R1CxW23TOR2012	43.6532	-79.3832
B4CxW36TOR2013	43.6532	-79.3832
C1CxW36TOR2013	43.6532	-79.3832
C2CxW36TOR2013	43.6532	-79.3832
D1CxW36TOR2013	43.6532	-79.3832
E3CxW36TOR2012	43.6532	-79.3832
I1CxW36TOR2013	43.6532	-79.3832
K1CxW36TOR2013	43.6532	-79.3832
Q1CxW37TOR2013	43.6532	-79.3832
B3CxW36TOR2012	43.6532	-79.3832
A1CxW36TOR2011	43.6532	-79.3832
F4CxW36TOR2011	43.6532	-79.3832
G1CxW36TOR2011	43.6532	-79.3832
L1CxW36TOR2011	43.6532	-79.3832
L4CxW36TOR2011	43.6532	-79.3832
M1CxW36TOR2011	43.6532	-79.3832
M3CxW36TOR2011	43.6532	-79.3832
N1CxW36TOR2011	43.6532	-79.3832
O3CxW36TOR2011	43.6532	-79.3832
O4CxW36TOR2011	43.6532	-79.3832
R1CxW36TOR2011	43.6532	-79.3832
R4CxW36TOR2011	43.6532	-79.3832
3A081CxW32LAM2012	43.6532	-79.3832
3F005CxW32LAM2012	43.6532	-79.3832
4A033CxW32LAM2012	43.6532	-79.3832
4F001CxW32LAM2012	43.6532	-79.3832
6A082CxW32LAM2012	43.6532	-79.3832
6F002CxW32LAM2012	43.6532	-79.3832
7F004CxW32LAM2012	43.6532	-79.3832
C2CxW32TOR2013	43.6532	-79.3832
D1CxW32TOR2013	43.6532	-79.3832
I1CxW32TOR2013	43.6532	-79.3832
J4CxW32TOR2013	43.6532	-79.3832
K1CxW32TOR2013	43.6532	-79.3832
M1CxW32TOR2013	43.6532	-79.3832
M3CxW32TOR2013	43.6532	-79.3832
CCxW32MSL2012	43.6532	-79.3832
Can2CxW32MSL2012	43.6532	-79.3832
Can8CxW32MSL2012	43.6532	-79.3832
D3CxW32TOR2012	43.6532	-79.3832
F4CxW32TOR2012	43.6532	-79.3832
G1CxW32WEC2012	43.6532	-79.3832
H1CxW32WEC2012	43.6532	-79.3832
J3CxW32TOR2012	43.6532	-79.3832
J5HCxW32TOR2012	43.6532	-79.3832
LCxW32MSL2012	43.6532	-79.3832
M1CxW32WEC2012	43.6532	-79.3832
MCxW32MSL2012	43.6532	-79.3832
N6HCxW32TOR2012	43.6532	-79.3832
OCxW32MSL2012	43.6532	-79.3832
P1CxW33TOR2012	43.6532	-79.3832
Q3CxW33TOR2012	43.6532	-79.3832
QCxW32MSL2012	43.6532	-79.3832
R1CxW32WEC2012	43.6532	-79.3832
T1CxW32WEC2012	43.6532	-79.3832
V1CxW32WEC2012	43.6532	-79.3832
Y12A2CxW32PEE2012	43.6532	-79.3832
Y12Q1CxW32PEE2012.a	43.6532	-79.3832
Y12Q1CxW32PEE2012.b	43.6532	-79.3832
A1CxW32TOR2011	43.6532	-79.3832
B3CxW32TOR2011	43.6532	-79.3832
B4CxW32TOR2011	43.6532	-79.3832
C1CxW32TOR2011	43.6532	-79.3832
C3CxW32TOR2011	43.6532	-79.3832
C4CxW32TOR2011	43.6532	-79.3832
E1CxW32TOR2011	43.6532	-79.3832
E2CxW32TOR2011	43.6532	-79.3832
E3CxW32TOR2011	43.6532	-79.3832
G1CxW32TOR2011	43.6532	-79.3832
H1CxW32TOR2011	43.6532	-79.3832
J2CxW32TOR2011	43.6532	-79.3832
K3CxW32TOR2011	43.6532	-79.3832
K4CxW32TOR2011	43.6532	-79.3832
L1CxW32TOR2011	43.6532	-79.3832
L4CxW32TOR2011	43.6532	-79.3832
L6CxW32TOR2011	43.6532	-79.3832
N1CxW32TOR2011	43.6532	-79.3832
N4CxW32TOR2011	43.6532	-79.3832
N5CxW32TOR2011	43.6532	-79.3832
O3CxW32TOR2011	43.6532	-79.3832
O4CxW32TOR2011	43.6532	-79.3832
P3CxW33TOR2011	43.6532	-79.3832
Q1CxW33TOR2011	43.6532	-79.3832
R4CxW32TOR2011	43.6532	-79.3832
BCxW32BRN2012	43.6532	-79.3832
FCxW32BRN2012	43.6532	-79.3832
HCxW32BRN2012	43.6532	-79.3832
ICxW32BRN2012	43.6532	-79.3832
Y12U1CxW32PEE2012	43.6532	-79.3832
A1CxW28TOR2012	43.6532	-79.3832
B1CxW28TOR2012	43.6532	-79.3832
B4CxW28TOR2012	43.6532	-79.3832
C2CxW28TOR2012	43.6532	-79.3832
C3CxW28TOR2012	43.6532	-79.3832
E1CxW28TOR2012	43.6532	-79.3832
E2CxW28TOR2012	43.6532	-79.3832
F4CxW28TOR2012	43.6532	-79.3832
J2CxW28TOR2012	43.6532	-79.3832
J3CxW28TOR2012	43.6532	-79.3832
L1CxW28TOR2012	43.6532	-79.3832
L4CxW28TOR2012	43.6532	-79.3832
M3CxW28TOR2012	43.6532	-79.3832
N1CxW28TOR2012	43.6532	-79.3832
N5CxW28TOR2012	43.6532	-79.3832
O1CxW28TOR2012	43.6532	-79.3832
O3CxW28TOR2012	43.6532	-79.3832
O4CxW28TOR2012	43.6532	-79.3832
R1CxW28TOR2012	43.6532	-79.3832
R4CxW28TOR2012	43.6532	-79.3832
G1CxW28TOR2012	43.6532	-79.3832
B1CxW37TOR2012	43.6532	-79.3832
E2CxW37TOR2012	43.6532	-79.3832
F1CxW37TOR2012	43.6532	-79.3832
J4CxW37TOR2012	43.6532	-79.3832
L4CxW37TOR2012	43.6532	-79.3832
M1CxW37TOR2013	43.6532	-79.3832
M3CxW37TOR2012	43.6532	-79.3832
N4CxW37TOR2012	43.6532	-79.3832
N5CxW37TOR2012	43.6532	-79.3832
O3CxW37TOR2013	43.6532	-79.3832
R4CxW37TOR2013.b	43.6532	-79.3832
